Title,Story_line
695. Love Me,A post-apocalyptic romance in which a buoy and a satellite meet online and fall in love after the end of human civilization.
696. Dead Sea,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret."
697. Successor,"Ma Chenggang and Chunlan, who have ""no oil in their soup and no money in their pockets"", ride a donkey to work and have a poor family. Their son Ma Jiye is the only hope who can change their fate."
698. Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
699. We Shall Not Be Moved,"Socorro, obsessed with finding her brother's killer from 1968's Tlatelolco massacre, receives a clue and risks everything, straining family ties, to avenge his death by locating the former soldier."
"701. Brooklyn, Minnesota","Follows Maisie and her father Kurt who have to leave their Brooklyn bubble to go back to Kurt's childhood home in Minnesota, where Maisie upsets long-standing family traditions, falls in love, and makes her family face their issues."
702. The Ties That Bind Us,"Exploring the challenges of modern family structures, the film follows a single father, a feminist librarian and a child seeking a place to belong as they navigate love and desires. It questions what it means to be a family."
703. Nurse Abi,"When overworked graphic designer Roy faints, he wakes up to the beautiful Nurse Abi taking care of him. This starts Roy's fantasy of going out and sleeping with Nurse Abi. But can he turn this fantasy into a reality?"
704. Blue Cave,"Navy soldier Cem embarks on trip to ""Blue Cave"" he promised wife Alara. Journey unveils details of their relationship, affirming enduring love beyond death."
705. Blue Lock: Episode Nagi,Seishiro Nagi before he enters the titular Blue Lock facility.
706. Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?
707. Naples to New York,Follows two Neapolitan kids as they journey to New York to escape Italy's early postwar poverty.
708. Bhakshak,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.
709. Maldoror,"Two girls vanish. Police recruit Paul Chartier joins a covert unit tracking a sex offender. After the operation falters, Chartier pursues the perpetrators independently, disillusioned with legal constraints."
710. One to One: John & Yoko,"Set in 1972 New York, this documentary explores John and Yoko's world amid a turbulent era. Centered on the One to One charity concert for special needs children, it features unseen archives, home movies, and restored footage."
711. Baby Assassins: Nice Days,Teenage assassins Chisato and Mahiro visit the coastal city of Miyazaki when they unexpectedly cross paths with a bloodthirsty assassin who's looking to add to his personal body count.
712. Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
713. My Husband Hired a Hitman,"When a greedy husband seeks a hitman to murder his wife and get her money, she will stop at nothing to fight back and seek revenge."
714. Grafted,A bright but socially awkward exchange student takes her craving for popularity to horrifying heights.
715. The Dead Thing,"A young woman lost in a series of meaningless connections falls in love with a charismatic and sensitive man, who hides a dark secret that turns her affair into a dangerous obsession."
716. Stelios,"Legendary Greek singer Stelios Kazantzidis, a Pontic refugee child who overcame challenges through talent and resilience, exploring his music, relationships, hardships, and devoted fanbase."
717. Rent Free,"After hitting emotional and financial rock bottom, best friends Ben and Jordan come up with a scheme to spend an entire year living ""rent free"" with the help of friends, family and strangers alike in a rapidly changing Austin."
718. ReEntry,"A romantic sci-fi drama about a woman whose husband disappears in a scientific experiment, only to return a year later."
719. Sector 36,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold."
720. Daddy's Head,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.
721. La pie voleuse,"An aging caregiver steals small amounts from her elderly clients despite caring for them devotedly and being loved in return, as she struggles financially but won't accept her situation."
722. Justice,"A discharged police officer is given a chance to regain his former life by capturing a bank robbery crew. Teaming up with a young policewoman, the ex-cop must act swiftly before the heist draws unwanted scrutiny from the new authorities."
"723. Love, Divided",Valentina is a young pianist starting over. Her neighbor David is an inventor who hates noise. And a paper-thin wall is about to become their matchmaker.
724. My Hero Academia: You're Next,"Deku, Bakugo, Todoroki and the rest of U.A. High Class 1-A must face off against Dark Might and the obscure crime organisation under his control, the Gollini Family."
725. The Trail,"A young woman embarks on a remote hiking trail in the Alps to cope with a trauma. In the midst of the rustic landscape, she is now not only confronted with her own fears, but also has to face an alien threat."
726. Head South,"In 1979, Angus, with his father's support, discovers the underground post-punk music scene in Christchurch, New Zealand, overcoming self-doubt, derision, and a family tragedy to perform."
727. In Waves and War,Highly decorated Navy SEAL Marcus Capone struggles with PTSD after returning from Afghanistan. His wife finds hope in psychedelic therapy. They embark on providing access to this treatment for other veterans battling mental health issues.
728. Off the Record,"LA musician Astor Grey seems to have it all - true love, a big break, and a hot rock star boyfriend - but in the cutthroat music industry, success and love come at a cost, and nothing is as perfect as it seems."
729. Paradox Effect,"An ex junkie witnesses a murder. She is forced to cooperate with the killer to save her daughter's life. She must fight time, the police and criminal underworld to save the only person who means something to her."
730. American Dream: The 21 Savage Story,Follows 21 Savage's journey from UK birth to US upbringing where he conquers adversity like poverty and crime to attain success in rap music.
731. Amaran,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
732. The Inheritance,"A billionaire on the eve of his 75th birthday, invites his estranged children back home out of fear that tonight someone or something is going to kill him. He puts each of their inheritances on the line, to make sure they'll help."
733. Avicii - I'm Tim,"This is the story of Tim Bergling, a shy and insecure boy who, without realizing it, suddenly created one of the world's most loved artists - Avicii."
734. Dahomey,"The journey of 26 plundered royal treasures from the Kingdom of Dahomey exhibited in Paris, now being returned to Benin. Diop artistically voices a new generation's demands."
735. Here Now,Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
736. The Fire Inside,Claressa Shields becomes the first American woman to win a gold medal only to learn that not all dreams are created equal.
737. Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew."
738. Mission: Cross,"In the ultimate test of marriage, an agent-turned-househusband gets tangled in a perilous mission with his detective wife, who's clueless about his past."
739. Buffalo Kids,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way."
740. Phallacies,"The birth of the first 'dicksploitation' film. An anthology of horror stories which challenge censorship, moral authoritarianism, and the stigma around male cinematic nudity."
741. Baki Hanma VS Kengan Ashura,"It's the ultimate showdown. The toughest fighters from Baki Hanma (2021) and Kengan Ashura (2019) clash in this unprecedented, hard-hitting martial arts crossover."
742. Dirty Boy,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
743. I Am: Celine Dion,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with Stiff Person Syndrome, a life-altering illness."
744. Compulsion,"On the island of Malta, two women get engaged in a string of horrifying murders."
745. Cult Killer,"After a renowned private investigator is murdered, his protégé takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
"746. To Live, to Die, to Live Again","A potential love triangle between Emma, Sammy, and Cyril is shattered by the emergence of the AIDS crisis. Expecting the worst, each character's destiny takes an unexpected path."
747. Trapped Inn,An American cycling team trains at a remote European lodge. Teammates start dying mysteriously. Rivals Connor and Greg battle to survive and uncover the cause behind the team's demise.
748. Chain Reactions,"The Texas Chain Saw Massacre's impact on 5 artists - Patton Oswalt, Takashi Miike, Alexandra Heller-Nicholas, Stephen King, Karyn Kusama - through interviews, outtakes, exploring how it shaped their art, psyche from childhood trauma."
749. The Glassworker,"The life of a young glassblower in training and his relationships over the years, as his land goes through war and strife."
750. The Intruder,"A young, paranoid man begins to believe someone is breaking into his house every night."
751. Young Royals Forever,"Edvin Ryding and Omar Rudberg, among others, together with the main writer, creator and executive producer Lisa Ambjörn share the story of how Wilhelm and Simon's journey took shape, from the writing process and casting to the final scene."
752. Raayan,"A series of unfortunate events lead Raayan, a simple man to be dragged into the dreaded world of crime and manipulation."
753. Saint Clare,"In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond."
754. Mother Mara,"Mara's life is disrupted by the sudden death of her only son. Through a relationship with a younger man, she tries to face the loss and find a way to move on."
"755. Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
757. Los Frikis,"Inspired by true events, Los Frikis is a coming-of-age story set in early 90s Cuba where a group of punk rockers in search of freedom deliberately inject HIV to live at a government-run treatment home so they can create their own utopia."
758. Moartea in vacanta,"Death on Holiday follows the story of three characters who become overnight ""friends in need"" - who desperately try to get into the good graces of a lonely and wealthy old woman, Rodica, hoping to inherit her fortune."
759. Federer: Twelve Final Days,Follows the last 12 days of the career of a tennis player considered the best ever as he plays his final tournament.
760. Stripped: Nashville,"This observational documentary follows the lives of Nashville's most dynamic exotic dancers over the course of several days - highlighting their skills as dancers, upbringing, personal relationships and business acumen."
761. From Contract Lover to the Billionaire's Bride,Chloe's fiance Mason dumps her to marry wealthy Sophia. He frames Chloe's father for his crimes. Lawyer Ethan initially dislikes Chloe but they team up when he agrees to defend her father to protect his sister.
762. Crescent City,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
763. Sunshine,"It follows a young gymnast who discovers she is pregnant on the week of the national team tryouts. On her way to a seller of illegal abortion drugs, she meets a mysterious girl who eerily talks and thinks like her."
764. Merry Christmas,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
765. Sarfira,"A man fights to make his dream of creating a low cost airline a reality, facing opposition from devious competitive airline owners who threaten his business and his passengers' safety."
766. Who by Fire,"Seventeen-year-old Jeff stays at film director Blake Cadieux's wilderness lodge after being invited by friend Max's family. When strange events occur, Jeff suspects something is amiss with the director and his retreat."
767. My Wifes X,"A newly released ex-con seeks revenge on his ex-wife and her new husband. As he pursues his vengeful mission, he remains unaware of a shocking connection between his target and someone closely involved in his release from prison."
768. Bosco,"Based on the story of Quawntay 'Bosco"" Adams, sentenced to 35 years for attempted possession of marijuana. With the help of a woman from a lonely-hearts ad, he escapes to see his daughter but is forced to take responsibility for his past."
769. Love in the Big City,"Misunderstood as more than friends, roommates Jae-hee and Heung-soo navigate the complexities of modern romance in Seoul's big city."
770. Auron Mein Kahan Dum Tha,"After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed."
771. Dance with the Devil,An easy heist quickly goes wrong for three stuck-up kids who think they have found the perfect target in an old man from the neighborhood.
772. The Painter,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind."
773. We Work for the Dead,If you're looking for a unique side hustle and don't mind being possessed...sign up for a delivery service with a dark twist. Your clients? The Dead.
774. Body of Water,"A cop returns to duty after being acquitted. He encounters Kevin, whose life derailed after a police incident. Their paths cross, making Austin understand that actions have consequences."
775. River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.
776. Heavier Trip,"Impaled Rektum, a band, is in jail but must escape when the guitarist's father falls ill and their family home/business faces demolition. They receive an offer to play a major festival but decline due to being imprisoned and unprepared."
777. Singham Again,"Bajirao Singham and a team of super cops must rescue his wife, Avni, who is producing a stage play based on the Ramayana, from a villainous kidnapper."
778. The Thundermans Return,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville."
779. The Program,"Explores the unprecedented bipartisan congressional effort to uncover what intelligence agencies really know about UFOs, now referred to as UAP."
780. Waves,A compromising record can change history.
781. Jimmy and Stiggs,"A perfect storm of lousy news sees out-of-work filmmaker Jimmy Lang spiral into a bender, during which he claims to have been abducted by aliens, and fearing their return, he contacts his old friend Stiggs to help him gear up for war."
782. I Don't Understand You,"Stranded in rural Italy without transportation or language skills, an American couple on the verge of adopting tries to reconnect during a disastrous vacation, as their fears and relationship problems threaten to boil over."
783. Viet and Nam,"In the underground coal mines, Nam and Viet, young miners, face danger and darkness. One prepares to leave for a new life, but they must find Nam's father's remains, a soldier lost in a faraway forest, retracing the past through memories."
784. Maharaj,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior."
785. The Bitter Taste,"A former pentathlete is captured by an undead countess and her cursed followers. To survive a deadly hunt, she must revive her athletic skills and form an uneasy alliance with a charming fisherman and a grumpy cop."
786. Freedom,"Inspired by real events, the story of Bruno Sulak, a true Arsène Lupin of the 20th century."
787. Or Something,"Tells the story about strangers who show up at the same apartment to collect cash they're both owed. The pair, one of whom is hiding a terrible secret, are sent on a journey across New York City."
788. Dans l'ombre de Marlow,"In a deceptive desert, Marlow searches desperately for a dream-fulfilling box. As she nears her goal, a startling revelation awaits."
789. Alienoid: The Return to the Future,Ancient Taoists travel through time and space in an effort to obtain a divine sword.
790. A Part of You,"Agnes, a teen envious of her popular older sister Julia, faces upheaval when tragedy strikes. Forced to reinvent herself, she's on the cusp of attaining her dreams but must navigate the consequences of her choices."
791. Mafia Wars,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.
792. Sons,The idealistic prison officer Eva is faced with the dilemma of her life when a young man from her past gets transferred to the prison where she works.
793. Sugar Baby,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home."
794. Grand Tour,"Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia."
795. Moon,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?"
796. Fluxx,Trapped in a surreal Hollywood Hills mansion a tormented actress must piece together memories and escape a nightmarish reality before losing her grip on sanity-and the truth about her husband's fate.
797. Drugstore June,"After the pharmacy in her small town is robbed, a girl who still lives at home with her parents takes matters into her own hands to solve the crime, while at the same time trying to get over her ex-boyfriend and become more of an adult."
798. Wanted Man,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces."
799. Becky,"A pretty, twisted and dangerous woman becomes obsessed with a happily married man who recently moves into the neighbourhood and wreaks havoc in every aspect of the couple's life."
800. Following,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media."
801. Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.
802. Hold Your Breath,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family."
803. Hot Frosty,"Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt."
804. Black Cab,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions."
805. Mai,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?"
806. 10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
807. The Last Dance,"A debt-ridden wedding planner inadvertently becomes a successful funeral planner, but he must convince a traditional Taoist priest of his legitimacy to continue operating in the field."
808. The Menendez Brothers,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events."
"809. I, the Executioner","Rookie detective Park Sun Woo and Seo Do-Cheol, a veteran of the Violent Crimes Investigation Division team, chase after a serial killer who shakes up their world."
810. Vulcanizadora,"Two friends take a trip through a Michigan forest, intent on carrying out a disturbing pact."
811. Max,"Inspector Arjun Mahakshay, law and order inspector reports to duty at a new police station after a 2 months suspension and faces an unexpected situation. Can Arjun save the day?"
812. Three Kilometres to the End of the World,"Set in a conservative Danube Delta community, a gay teenager's journey of self-discovery clashes with the traditional values upheld by his parents and neighbors."
813. Terminator: Skynet Rising,"Since Legion was destroyed, the machines have been working to restore Skynet. Now the resistance has discovered their plans and must find a way to prevent them."
814. Limonov: The Ballad of Eddie,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia."
815. A Bronx Tale: The Original One Man Show,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the love of his son"
816. Dead Money,Professional poker player Andy and his girlfriend Chloe are involved in a crazy 24 hours after a home poker game is robbed. Andy ends up playing the largest poker game of his life as both of their lives are in danger.
817. Haikyu!! The Dumpster Battle,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round."
818. An Ordinary Case,"A man is accused of murdering his wife. His lawyer must defend him against all odds, and especially against himself."
819. Captain Miller,A man leaves and turns against the British-led Indian military after witnessing atrocity.
820. Peter Five Eight,A seemingly glamorous real estate agent in a small mountain community is revealed to be an unhinged alcoholic with a dark secret when a charismatic man in black shows up one day at the behest of his shadowy boss.
821. Duchess,"Follows a tough, working-class, petty criminal who morphs into an anti-heroine to be reckoned with in a murky underworld, in the treacherous world of diamond smuggling."
822. Modi: Three Days on the Wing of Madness,"Through the streets of World War I Paris, Italian bohemian artist Modigliani attempts to outmaneuver bombs, policemen, girlfriends, and critics in a increasingly desperate search of a home for his art."
823. Quisling: The Final Days,Five years of occupation during WW2 ends in Norway. Vidkun Quisling is in prison for treason and is to be held accountable for his actions. Can a priest help him find peace of mind? Can the traitor with big thoughts about himself repent?
824. Robin and the Hoods,"For the tenacious 11-year-old Robin and her loyal band of friends 'The Hoods', the patch of overgrown scrubland at the end of their cul-de-sac is a magical kingdom."
825. Nobu,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy."
826. Nuked,"A group of friends gets together for a cannabis-infused, technology free, dinner party only to learn a bomb is headed right for them."
827. Daughters,"Four young girls prepare for a special Daddy/Daughter Dance with their incarcerated fathers as part of a unique fatherhood program in a Washington, D.C. jail."
828. Stripper Boyz,"Two best friends head to Vegas for a bachelor party with a twist: instead of hiring strippers, they decide to become them. Training with a real male revue troupe, they meet colorful characters on a wild, heartwarming journey."
829. Escape from the 21st Century,"Three friends discover they have the power to travel back and forth 20 years with a sneeze. However, the future is not as good as they hoped, and they need to take on the responsibility of saving the world."
830. Escape,"A young man who wants to live in prison and will do whatever it takes to get there, raising questions such as if those who care about him will get to stop him from committing increasingly serious crimes."
831. They Called Him Mostly Harmless,"A hiker found dead in Florida wilderness is identified by internet sleuths after 2 years. His identity triggers more questions as multiple hikers claim to have met him, but he never revealed his name."
832. Tiempo de Pagar,"Richard, an Argentinian money exchanger who works at the Buenos Aires downtown, finds himself involved in a series of problems that lead him to a thrilling race against the clock."
833. The Code,"Follows the misadventures of a sexless couple, as their relationship falls into shambles in the early part of the pandemic."
834. Arthur's Whisky,Three elderly ladies drink an elixir that makes them young again and soon discover that youth isn't all it's cracked up to be.
835. She's Got No Name,"A bizarre case caused thousands of waves. There are different opinions on the truth. When the whole story of the case was gradually restored like pieces of a puzzle, people realized that the truth was not that important anymore."
836. Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
837. Los destellos,"Isabel's life takes an unexpected turn when her daughter Madalen asks her to take care of her father, Ramón, who is sick. After fifteen years without seeing her ex-husband Isabel will try to fulfill her mission with diligence and coldness."
838. Things Will Be Different,"In order to escape police after a robbery, two estranged siblings lie low in a farmhouse that hides them away in a different time. There they reckon with a mysterious force that pushes their familial bonds to unnatural breaking points."
839. Whatever It Takes,"In 2019, a middle-aged couple are subjected to cyberstalking and bizarre deliveries. As the harassment intensifies, the police and FBI close in on a Silicon Valley giant and some very unlikely suspects."
840. When the Light Breaks,"Una grapples with grief while harboring a secret, unable to fully express her emotions, as she navigates challenging events swirling around her."
841. Made in Ethiopia,"When a massive Chinese factory complex attempts a high-stakes expansion in rural Ethiopia, three women in search of prosperity have their faith in industrialization tested to the limit."
842. The Door-to-Door Bookstore,"The 70-year old Carl Kollhoff works in a little bookshop in a small town, where he wraps up books to deliver them by foot. One day the 9-year old girl Schascha joins him on his delivering-tours. She calls him the ""Buchspazierer""."
843. Wanted: Girlfriend,Sheina Yu and Reina Castillo date a man who likes to have sex anytime and anywhere. See who can keep up with his strong sexual appetite and be his girlfriend.
844. Feminist Fathima,"A housewife in coastal Kerala sparks quiet rebellion after trying to replace a mattress, challenging patriarchy through small acts of resistance in her journey toward self-liberation."
845. Sookshma Darshini,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister."
846. Shook,"After a run-in with his estranged father, an aspiring writer learns a secret that will force him to balance family, love, and success while navigating the divide between the exciting city life he wants and his suburban reality."
847. Bad Faith,"Exposes how Christian Nationalism has become the most powerful anti-democratic force in America. Leaders join forces to defend our country from this march to fascism, but American citizens seem unaware of the threat."
848. The Holiday List,"A woman sets out a well-intentioned plan of bringing her dysfunctional family together in the wake of the family's matriarch, her mother-in-law."
849. Mani nude,A wealthy young man is kidnapped by a mysterious organization and forced to participate in extreme underground bare-knuckle fights that can only end in one way: with a contestant's death.
850. Return of the King: The Fall and Rise of Elvis Presley,He had one chance to show the world he was still the King of Rock 'n' Roll. Discover the story behind Elvis Presley's triumphant '68 comeback special.
851. Runt,"Follows ten-year-old Annie and Runt, her stray dog, as they attempt to win the Agility Course Championship at the Krumpets Dog Show in London in order to save their family's farm from drought and misery."
852. The North Witch,"Five women embark on a search for a cabin that mysteriously went missing 60 years ago. They soon realize that watching them is a sinister, demented being. Can they survive the horrors of The North Witch, or is death the better way out?"
853. Pani,"When the peaceful married life of a couple is unexpectedly disrupted by two youngsters with criminal inclination, the trials and tribulations connect the mobster lives of Thrissur by becoming a part of vengeance."
854. Royal Runaways,"From the French nation of Caminelle to a winery in Maine, a defiant prince and orphaned girl take parallel paths to find each other but must first unravel a plot filled with twists."
855. From Ground Zero,"From Ground Zero is a collection of 22 short films made in Gaza. Initiated by Palestinian director Rashid Masharawi, the project was born to give a voice to 22 Gazan filmmakers to tell the untold stories of the current war on film."
856. Something in the Water,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.
857. Aliens Expanded,An in-depth and innovative documentary that explores the story behind James Cameron's beloved sci-fi epic Aliens (1986) and its incredible impact.
858. Sahbek Rajel,"Two cops - one reckless, one family-oriented and honest - become partners, leading to action-packed and comedic situations."
859. The Corpse Washer,"Lela, a mortician, grapples with uncovering the truth behind her mother's mysterious deaths while haunted by spirits and burdened by the weight of untold secrets."
860. Tyler Perry's Divorce in the Black,Ava's husband Dallas leaves her heartbroken as he abandons their marriage.
861. Simp,A model gets kidnapped at a fake photo shoot. Based on true events.
862. Invited,"When a reluctant mother attends her daughter's Zoom elopement, she and the rest of the family in attendance quickly realize the groom is part of a Russian cult with deadly intentions."
863. Vanished Into the Night,"A father, immersed in a difficult divorce process, embarks on a dangerous mission when his children disappear from their isolated country house."
864. Lights Out,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers."
865. The Last Republican,"In the wake of the January 6 Capitol riot, Republican Congressman Adam Kinzinger, a fan of Hollywood director Steve Pink's film Hot Tub Time Machine, teams up with Pink to shed light on the events and hold those responsible accountable."
866. Julie Keeps Quiet,"Julie is a star player at an elite tennis academy. When her coach falls under investigation and is suddenly suspended, all of the club's players are encouraged to speak up. But Julie decides to keep quiet."
867. Race for Glory: Audi vs. Lancia,"A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage."
868. Asiri Ade,Two kingdoms contemplate a royal union for different motives.
869. Daniela Forever,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
870. Doin' It,An Indian-American virgin gets a job teaching high school sex ed.
871. The Solitary Gourmet,"Goro Inogashira travels all over Japan for work. Upon receiving a message from an old friend's daughter, Goro arrives in Paris and learns of the elderly man's wish to taste a particular soup he had in his childhood before he dies."
872. Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
873. Death's Sonata,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
874. Mascarpone: The Rainbow Cake,"After three years, Antonio and Luca are reunited. Antonio, a successful pastry chef, still has feelings for Luca, who is now engaged to Tancredi. Antonio is convinced that the past has come back to help them."
875. Véletlenül írtam egy könyvet,"Follows a 13-year-old girl who dreams to become a writer. While she is learning to write with the help of her neighbor, she suddenly realizes that her life is actually becoming a novel."
876. Hanu Man,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
877. The Underdoggs,"Jaycen ""Two Js"" Jennings is a washed-up ex-professional football star who has hit rock bottom. When Jaycen is sentenced to community service coaching an unruly pee-wee football team, he sees it as an opportunity to turn his life around."
878. Audrey's Children,"1969. Dr. Audrey Evans joins world-renowned children's hospital and battles sexism, medical conventions, and the subterfuge of her peers to develop revolutionary treatments and purchase the first Ronald McDonald House, impacting millions."
879. September Says,"When September is suspended from their school, her sister July begins to assert her own independence. Tension in the family builds on holiday Ireland as a series of surreal encounters test the them all to their limit."
880. Liza: A Truly Terrific Absolutely True Story,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences."
881. Among Neighbors,"In a small Polish town where a dark history has been silenced, an eyewitness to murder speaks out in search of the Jewish boy she loved."
882. Red Path,"A group of men attack two young shepherds. Achraf, 14, is obliged to bring the head of his cousin Nizar to the family as a macabre message."
883. Karma,"Stranded in a remote graveyard, special investigation officer Amar Patnaik uncovers chilling secrets, only to realise he's caught in a gripping tale of Karma and Fate"
885. Mother of the Bride,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.
886. A True Gentleman,It follows a gigolo as he falls in love with a young girl.
887. Zeitgeist: Requiem,"Peter Joseph explorers the fundamental incompatibility of our economy and the culture it has created with our future survival as a species, while posing solutions based on system's science/cybernetics. This film will be released in 2026."
888. The Greatest,"Inhibited by his conventional life, a man named Jay is forced to confront his darkest secret when having to choose between a life of normality and authenticity."
889. The Neon Highway,"Wayne, a singer, meets washed-up legend Claude Allen. Together they go to Nashville to pitch a song, but the industry rejects them. Wayne figures out how to release the song publicly, not for himself but for Claude."
890. The Streak,"The Salt Lake Trappers were an unaffiliated team at the lowest level of the minor leagues. By the end of the 1987 season, they had achieved the longest winning streak in the history of professional baseball."
891. Vice Is Broke,"Huang examines Vice's transformation from indie magazine to media behemoth, interviewing former contributors pivotal to its ascent and decline."
892. Mummy Shark,"In an Egyptian pyramid, researchers uncover a mummified alien shark. A mystic revives the creature, unleashing it on the exploration team."
893. He's Watching You,"Killer Reports report on crime scenes across the UK. However, when they hear about the Mystery of The Masked Man, they decide to try and get an exclusive report. Will they survive to tell the tale?"
894. Pistachio Wars,"In a drought-stricken Beverly Hills, wealthy farmers face environmental crisis and water privatization. As marketing schemes run wild and resources dwindle, tensions escalate, leading to unexpected international conflict."
895. Kryptic,"A woman searches for a missing monster hunter, realizing she has an inextricable bond with the creature being pursued."
"896. Hemet, or the Landlady Don't Drink Tea","A tyrannical landlady lords it over her tenants during an epidemic, pitting them against each other in a web of paranoia spun for deadly results."
